Manufacturer,Model,Description,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,CO2 g/km
ABARTH,500,595 & 595C Auto.,Petrol,8.4,5.4,6.5,151
ABARTH,500,595 & 595C Manual,Petrol,8.5,5.4,6.5,155
ABARTH,500,Abarth 500 & 500C,Petrol,8.5,5.4,6.5,155
ABARTH,500,Abarth 500 & 500C ,Petrol,8.4,5.4,6.5,151
ABARTH,500,Abarth 595 & 695C 180 bhp,Petrol,8.4,5.4,6.5,151
ABARTH,Punto Evo,1.4 16v Turbo MultiAir 165,Petrol,8,5,6.1,142
ALFA ROMEO,Giulietta,1.4 TB 120 bhp,Petrol,8.4,5.3,6.4,149
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp,Petrol,7.8,4.6,5.8,134
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp Alfa TCT,Petrol,6.7,4.3,5.2,121
ALFA ROMEO,Giulietta,1.6 JTDm-2 105 bhp 2014 Onwards,Diesel,5,3.4,4,104
ALFA ROMEO,Giulietta,1750 TBi 235 bhp,Petrol,10.8,5.8,7.6,177
ALFA ROMEO,Giulietta,2.0 JTDm-2 140 bhp,Diesel,5.6,3.9,4.5,119
ALFA ROMEO,Giulietta,2.0 JTDM-2 150 bhp,Diesel,5,3.7,4.2,110
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp ,Diesel,5.8,4.1,4.7,124
ALFA ROMEO,Giulietta,2.0 JTDm-2 170 bhp Alfa TCT,Diesel,5.3,4,4.5,119
ALFA ROMEO,Giulietta,2.0 JTDm-2 175 bhp Alfa TCT,Diesel,5.2,3.9,4.4,116
ALFA ROMEO,MiTo,1.3 JTDm-2 85 bhp,Diesel,4.4,2.9,3.5,90
ALFA ROMEO,MiTo,1.4 8v 78 bhp,Petrol,7.3,4.6,5.6,130
ALFA ROMEO,MiTo,1.4 MultiAir 105 bhp,Petrol,7.5,4.7,5.7,134
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 bhp,Petrol,7.3,4.4,5.5,128
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 bhp Alfa TCT,Petrol,7.1,4.5,5.5,126
ALFA ROMEO,MiTo,1.4 TB MultiAir 170 bhp,Petrol,8.1,4.8,6,139
ALFA ROMEO,MiTo,1.6 JTDm-2 120 bhp,Diesel,5.3,3.8,4.4,114
ALFA ROMEO,MiTo,1.6 JTDm-2 120 bhp Oct 2013 Onwards - Euro 5+,Diesel,5.2,3.7,4.3,112
ALFA ROMEO,MiTo,875cc TB TwinAir 85 bhp,Petrol,4.9,3.8,4.2,98
ASTON MARTIN LAGONDA,Cygnet,Hatchback Auto.,Petrol,6.1,4.6,5.2,120
ASTON MARTIN LAGONDA,Cygnet,Hatchback Manual,Petrol,5.8,4.5,5,116
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible 2013 onwards,Petrol,21.6,10,14.3,333
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible March 2010 onwards Auto.,Petrol,22.3,10.2,14.6,345
ASTON MARTIN LAGONDA,DB9,Coupé & Convertible March 2010 onwards Manual,Petrol,24.6,11.7,16.4,389
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards Auto.,Petrol,24.2,10.5,15.5,367
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards Manual,Petrol,24.3,11.7,16.4,388
ASTON MARTIN LAGONDA,Rapide S,4 door Sports,Petrol,21.4,10.1,14.3,332
ASTON MARTIN LAGONDA,Rapide,4 door Sports March 2010 onwards,Petrol,22.6,10.4,14.9,355
ASTON MARTIN LAGONDA,V12 Vantage S,Hatchback ASM7,Petrol,22.5,10.2,14.7,343
ASTON MARTIN LAGONDA,V12 Vantage,Hatchback & Roadster 2013 ono.,Petrol,24.3,11.7,16.4,388
ASTON MARTIN LAGONDA,V12 Vantage,Hatchback from March 2010,Petrol,24.3,11.7,16.4,388
ASTON MARTIN LAGONDA,V8 Vantage S,Coupé & Convertible 2013 ono.,Petrol,19.6,10.4,13.8,321
ASTON MARTIN LAGONDA,V8 Vantage S,Coupé & Convertible ASM7 2011,Petrol,19.2,9.3,12.9,299
ASTON MARTIN LAGONDA,V8 Vantage S,Coupé & Convertible ASM7 2013 ono.,Petrol,19.2,9.3,12.9,299
ASTON MARTIN LAGONDA,V8 Vantage,Coupé & Convertible 2011,Petrol,19.6,10.4,13.8,321
ASTON MARTIN LAGONDA,V8 Vantage,Coupé & Convertible 2013 ono.,Petrol,19.6,10.4,13.8,321
ASTON MARTIN LAGONDA,V8 Vantage,Coupé & Convertible ASM6 2011,Petrol,18.3,9.3,12.6,295
ASTON MARTIN LAGONDA,V8 Vantage,Coupé & Convertible ASM7 2012,Petrol,19.2,9.3,12.9,299
ASTON MARTIN LAGONDA,V8 Vantage,Coupé & Convertible ASM7 2013 ono.,Petrol,19.2,9.3,12.9,299
ASTON MARTIN LAGONDA,V8 Vantage,Coupé & Convertible Sports Muffler 2011,Petrol,19.6,10.4,13.8,321
ASTON MARTIN LAGONDA,V8 Vantage,Coupé & Convertible Sports Muffler/ASM6 2011,Petrol,18.3,9.3,12.6,295
ASTON MARTIN LAGONDA,Vanquish,Coupé,Petrol,21.4,10.2,14.4,335
ASTON MARTIN LAGONDA,Virage,Coupé & Convertible,Petrol,22.3,10.8,15,349
ASTON MARTIN LAGONDA,Zagato,Coupé,Petrol,24.3,11.7,16.4,388
AUDI,A1 Sportback,1.2 TFSI 86PS ,Petrol,6.2,4.4,5.1,118
AUDI,A1 Sportback,1.4 TFSI 122PS ,Petrol,6.9,4.6,5.4,126
AUDI,A1 Sportback,1.4 TFSI 122PS 7speed S tronic,Petrol,6.5,4.6,5.3,122
AUDI,A1 Sportback,1.4 TFSI 140PS ,Petrol,6,4.3,4.9,113
AUDI,A1 Sportback,1.4 TFSI 140PS 7speed S tronic,Petrol,5.9,4.3,4.9,113
AUDI,A1 Sportback,1.4 TFSI 140PS Sport ,Petrol,5.8,4.1,4.7,109
AUDI,A1 Sportback,1.4 TFSI 140PS Sport 7speed S tronic,Petrol,5.7,4.1,4.7,109
AUDI,A1 Sportback,1.4 TFSI Black Edition 185PS 7speed S tronic,Petrol,7.5,5.1,5.9,139
AUDI,A1 Sportback,1.4 TFSI S Line 185PS 7speed S tronic,Petrol,7.5,5.1,5.9,139
AUDI,A1 Sportback,1.6 TDI 105PS ,Diesel,4.4,3.4,3.8,99
AUDI,A1 Sportback,2.0 TDI 143PS ,Diesel,5,3.6,4.1,108
AUDI,A1,1.2 TFSI 86PS ,Petrol,6.2,4.4,5.1,118
AUDI,A1,1.4 TFSI 122PS ,Petrol,6.8,4.4,5.3,124
AUDI,A1,1.4 TFSI 140PS,Petrol,5.8,4.1,4.7,109
AUDI,A1,1.4 TFSI 140PS 7speed S tronic,Petrol,5.7,4.1,4.7,109
AUDI,A1,1.4 TFSI Black Edition 185PS 7speed S tronic,Petrol,7.5,5.1,5.9,139
AUDI,A1,1.4 TFSI S line 122PS 7speed S tronic ,Petrol,6.5,4.6,5.3,122
AUDI,A1,1.4 TFSI S line 185PS 7speed S tronic ,Petrol,7.5,5.1,5.9,139
AUDI,A1,1.4 TFSI Sport 122PS 7speed S tronic ,Petrol,6.5,4.4,5.2,119
AUDI,A1,1.6 TDI 105PS ,Diesel,4.4,3.4,3.8,99
AUDI,A1,2.0 TDI 143PS ,Diesel,5,3.6,4.1,108
AUDI,A1,2.0 TFSI quattro 256PS,Petrol,11.7,6.8,8.6,152
AUDI,A3 Cabriolet,1.6 TDI 110PS,Diesel,4.7,3.5,3.9,104
AUDI,A3 Hatchback,1.2 TFSI 105PS ,Petrol,5.9,4.4,4.9,114
AUDI,A3 Hatchback,1.2 TFSI 105PS 7speed S-Tronic ,Petrol,5.8,4.3,4.9,112
AUDI,A3 Hatchback,1.4 TFSI 122PS,Petrol,6.5,4.4,5.2,120
AUDI,A3 Hatchback,1.4 TFSI 122PS 7speed S-Tronic,Petrol,6.1,4.2,4.9,114
AUDI,A3 Hatchback,1.6 TDI 105PS ,Diesel,4.6,3.3,3.8,99
AUDI,A3 Hatchback,1.6 TDI 105PS 7speed S-Tronic ,Diesel,4.8,3.4,3.9,102
AUDI,A3 Hatchback,2.0 TDI 150PS ,Diesel,4.9,3.6,4.1,106
AUDI,A3 Hatchback,2.0 TDI 150PS S-tronic ,Diesel,5.2,4,4.4,117
AUDI,A3 Saloon,1.6 TDI 105PS,Diesel,4.6,3.3,3.8,99
AUDI,A3 Saloon,1.6 TDI 105PS 7speed S tronic,Diesel,4.8,3.4,3.9,102
AUDI,A3 Saloon,1.8 TFSI 180PS,Petrol,7.4,4.9,5.8,135
AUDI,A3 Saloon,1.8 TFSI quattro 180PS S tronic,Petrol,8.2,5.6,6.6,152
AUDI,A3 Saloon,2.0 TDI 150PS,Diesel,5.2,3.5,4.1,107
AUDI,A3 Saloon,2.0 TDI 150PS S tronic,Diesel,5.5,3.9,4.5,118
AUDI,A3 Sportback,1.2 TFSI 105PS,Petrol,5.9,4.4,4.9,114
AUDI,A3 Sportback,1.2 TFSI 105PS 7speed S-tronic,Petrol,6,4.4,5,115
AUDI,A3 Sportback,1.4 TFSI 122PS,Petrol,6.6,4.6,5.3,123
AUDI,A3 Sportback,1.4 TFSI 122PS 7speed S tronic,Petrol,6.1,4.3,5,116
AUDI,A3 Sportback,1.6 TDI 105PS,Diesel,4.6,3.3,3.8,99
AUDI,A3 Sportback,1.6 TDI 105PS 7speed S-tronic,Diesel,4.8,3.4,3.9,102
AUDI,A3 Sportback,2.0 TDI 150PS,Diesel,5,3.7,4.2,108
AUDI,A3 Sportback,2.0 TDI 150PS S tronic,Diesel,5.4,4.1,4.5,119
AUDI,A4 Allroad,2.0 TDI quattro 177PS ,Diesel,6.9,5.3,5.8,153
AUDI,A4 Allroad,2.0 TDI quattro 177PS 7speed S tronic ,Diesel,7,5.4,6,156
AUDI,A4 Allroad,2.0 TFSI quattro 211PS ,Petrol,9.1,6.1,7.2,169
AUDI,A4 Allroad,2.0 TFSI quattro 211PS 7speed S tronic ,Petrol,9,6.3,7.3,170
AUDI,A4 Allroad,3.0 V6 TDI quattro 245PS 7speed S tronic ,Diesel,7.2,5.5,6.2,161
AUDI,A4 Avant,1.8 TFSI 120PS ,Petrol,8.6,5.5,6.6,154
AUDI,A4 Avant,2.0 TDI 143PS ,Diesel,5.6,4.2,4.7,124
AUDI,A4 Avant,2.0 TDI 143PS Multitronic ,Diesel,5.6,4.5,4.9,129
AUDI,A4 Avant,2.0 TDI 150PS,Diesel,5.6,4.2,4.7,124
AUDI,A4 Avant,2.0 TDI 150PS Multitronic,Diesel,5.6,4.5,4.9,129
AUDI,A4 Avant,2.0 TDI 163PS Ultra ,Diesel,5.1,4,4.4,114
AUDI,A4 Avant,2.0 TDI 177PS ,Diesel,5.7,4.3,4.8,126
AUDI,A4 Avant,2.0 TDI 177PS Multitronic ,Diesel,5.6,4.5,4.9,129
AUDI,A4 Avant,2.0 TDI quattro 177PS ,Diesel,6.3,4.7,5.3,139
AUDI,A4 Avant,2.0 TDI quattro 177PS S tronic,Diesel,6.5,4.9,5.5,144
AUDI,A4 Avant,2.0 TDIe 136PS ,Diesel,5.3,3.9,4.4,116
AUDI,A4 Avant,2.0 TFSI 211PS Multitronic ,Petrol,7.7,5.4,6.2,144
AUDI,A4 Avant,2.0 TFSI quattro 211PS ,Petrol,9,5.8,7,162
AUDI,A4 Avant,2.0 TFSI quattro 211PS 7speed S tronic ,Petrol,8.7,6,7.1,163
AUDI,A4 Avant,3.0 V6 TDI 204PS Multitronic ,Diesel,5.7,4.8,5.1,135
AUDI,A4 Avant,3.0 V6 TDI quattro 245PS ,Diesel,7.3,5.1,5.9,154
AUDI,A4 Avant,3.0 V6 TDI quattro 245PS 7speed S tronic ,Diesel,7,5.2,5.9,154
AUDI,A4 Avant,S4 3.0 TFSI quattro 333PS 7speed S tronic,Petrol,11.2,6.8,8.4,197
AUDI,A4 Saloon,1.8 TFSI 120PS,Petrol,8.6,5.3,6.5,151
AUDI,A4 Saloon,1.8 TFSI 170PS ,Petrol,7.4,4.8,5.7,134
AUDI,A4 Saloon,1.8 TFSI 170PS Multitronic ,Petrol,6.9,5.1,5.8,134
AUDI,A4 Saloon,2.0 TDI 143PS ,Diesel,5.4,4,4.5,119
AUDI,A4 Saloon,2.0 TDI 143PS Multitronic ,Diesel,5.7,4.4,4.8,127
AUDI,A4 Saloon,2.0 TDI 150PS,Diesel,5.4,4,4.5,119
AUDI,A4 Saloon,2.0 TDI 150PS Multitronic,Diesel,5.7,4.4,4.8,127
AUDI,A4 Saloon,2.0 TDI 177PS ,Diesel,5.5,4.1,4.6,120
AUDI,A4 Saloon,2.0 TDI 177PS Multitronic ,Diesel,5.7,4.4,4.8,127
AUDI,A4 Saloon,2.0 TDI quattro 177PS ,Diesel,6.1,4.5,5.1,134
AUDI,A4 Saloon,2.0 TDI quattro 177PS 7speed S tronic,Diesel,6.4,4.7,5.3,139
AUDI,A4 Saloon,2.0 TDIe 136PS ,Diesel,5.2,3.7,4.3,112
AUDI,A4 Saloon,2.0 TDIe 163PS ,Diesel,5.4,3.8,4.4,115
AUDI,A4 Saloon,2.0 TFSI 211PS Multitronic ,Petrol,7.7,5,6,140
AUDI,A4 Saloon,2.0 TFSI quattro 211PS ,Petrol,8.9,5.6,6.8,159
AUDI,A4 Saloon,2.0 TFSI quattro 211PS 7speed S tronic,Petrol,8.8,5.8,7,159
AUDI,A4 Saloon,2.0 TFSI quattro 225PS 7speed S tronic,Petrol,8.5,5.6,6.7,155
AUDI,A4 Saloon,3.0 V6 TDI 204PS Multitronic ,Diesel,5.5,4.6,4.9,129
AUDI,A4 Saloon,3.0 V6 TDI quattro 245PS ,Diesel,7.2,4.9,5.8,152
AUDI,A4 Saloon,3.0 V6 TDI quattro 245PS 7speed S tronic ,Diesel,6.8,5.1,5.7,149
AUDI,A4 Saloon,S4 3.0 TFSI V6 quattro 333PS 7speed S tronic,Petrol,10.7,6.6,8.1,190
AUDI,A5 Cabriolet,1.8 TFSI 170PS ,Petrol,7.9,5.1,6.2,143
AUDI,A5 Cabriolet,1.8 TFSI 170PS Multitronic,Petrol,7.2,5.6,6.2,143
AUDI,A5 Cabriolet,2.0 TDI 143PS ,Diesel,5.7,4.3,4.8,126
AUDI,A5 Cabriolet,2.0 TDI 150PS,Diesel,5.6,4.2,4.7,124
AUDI,A5 Cabriolet,2.0 TDI 177PS,Diesel,5.8,4.4,4.9,127
AUDI,A5 Cabriolet,2.0 TDI 177PS Multitronic,Diesel,5.8,4.6,5,132
AUDI,A5 Cabriolet,2.0 TDI quattro 177PS,Diesel,6.5,4.9,5.4,142
AUDI,A5 Cabriolet,2.0 TFSI 211PS,Petrol,8.6,5.4,6.6,154
AUDI,A5 Cabriolet,2.0 TFSI 211PS Multitronic ,Petrol,7.8,5.6,6.4,149
AUDI,A5 Cabriolet,2.0 TFSI quattro 211PS 7speed S tronic ,Petrol,8.8,6.1,7.2,164
AUDI,A5 Cabriolet,3.0 TFSI quattro 272PS 7speed S tronic,Petrol,11.2,6.9,8.5,199
AUDI,A5 Cabriolet,3.0 V6 TDI 204PS Multitronic ,Diesel,5.8,4.9,5.2,138
AUDI,A5 Cabriolet,3.0 V6 TDI quattro 245PS 7speed S tronic ,Diesel,7,5.2,5.9,154
AUDI,A5 Cabriolet,S5 V6 quattro 333PS 7speed S tronic ,Petrol,11.2,6.9,8.5,199
AUDI,A5 Coupé,1.8 TFSI 170PS ,Petrol,7.4,4.8,5.7,134
AUDI,A5 Coupé,1.8 TFSI 170PS 8speed Multitronic,Petrol,6.9,5.1,5.8,134
AUDI,A5 Coupé,2.0 TDI 177PS ,Diesel,5.5,4.1,4.6,120
AUDI,A5 Coupé,2.0 TDI 177PS Multitronic ,Diesel,5.5,4.3,4.7,123
AUDI,A5 Coupé,2.0 TDI quattro 177PS ,Diesel,6.1,4.5,5.1,134
AUDI,A5 Coupé,2.0 TDIe 163PS,Diesel,5.4,3.8,4.4,115
AUDI,A5 Coupé,2.0 TFSI 211PS,Petrol,8.3,5.1,6.3,144
AUDI,A5 Coupé,2.0 TFSI 211PS 8speed Multitronic,Petrol,7.7,5,6,140
AUDI,A5 Coupé,2.0 TFSI quattro 211PS ,Petrol,8.9,5.6,6.8,159
AUDI,A5 Coupé,2.0 TFSI quattro 211PS 7speed S tronic,Petrol,8.8,5.8,7,159
AUDI,A5 Coupé,2.0 TFSI quattro 225PS 7speed S tronic,Petrol,8.5,5.6,6.7,155
AUDI,A5 Coupé,3.0 V6 TDI 204PS Multitronic ,Diesel,5.5,4.6,4.9,129
AUDI,A5 Coupé,3.0 V6 TDI 245PS quattro 7speed S tronic,Diesel,6.8,5.1,5.7,149
AUDI,A5 Coupé,3.0 V6 TFSI quattro 272PS 7speed S tronic,Petrol,10.7,6.6,8.1,190
AUDI,A5 Coupé,RS5 4.2 V8 quattro 450PS 7speed S tronic,Petrol,14.4,8.3,10.5,246
AUDI,A5 Coupé,S5 3.0 V6 TFSI quattro 333PS 7speed S tronic,Petrol,10.7,6.6,8.1,190
AUDI,A5 Sportback,2.0 CR TDI 150PS,Diesel,5.4,4,4.5,119
AUDI,A5 Sportback,2.0 CR TDI 150PS Multitronic,Diesel,5.7,4.4,4.8,127
AUDI,A5 Sportback,2.0 TDI 143PS Multitronic,Diesel,5.7,4.4,4.8,127
AUDI,A5 Sportback,2.0 TDI 177PS ,Diesel,5.5,4.1,4.6,120
AUDI,A5 Sportback,2.0 TDI 177PS Multitronic ,Diesel,5.7,4.4,4.8,127
AUDI,A5 Sportback,2.0 TDI quattro 177PS ,Diesel,6.1,4.5,5.1,134
AUDI,A5 Sportback,2.0 TDI quattro 177PS 7speed S tronic,Diesel,6.4,4.7,5.3,139
AUDI,A5 Sportback,2.0 TDIe 136PS,Diesel,5.4,3.9,4.4,117
AUDI,A5 Sportback,2.0 TDIe 163PS,Diesel,5.5,3.9,4.5,118
AUDI,A5 Sportback,2.0 TFSI 211PS,Petrol,8.3,5.1,6.3,144
AUDI,A5 Sportback,2.0 TFSI 211PS 8speed Multitronic ,Petrol,7.7,5.3,6.2,144
AUDI,A5 Sportback,2.0 TFSI quattro 211PS ,Petrol,8.9,5.6,6.8,159
AUDI,A5 Sportback,2.0 TFSI quattro 211PS 7speed S tronic,Petrol,8.8,5.8,7,159
AUDI,A5 Sportback,3.0 TDI quattro 245PS,Diesel,7.2,4.9,5.8,152
AUDI,A5 Sportback,3.0 V6 TDI 204PS Multitronic ,Diesel,5.5,4.6,4.9,129
AUDI,A5 Sportback,3.0 V6 TDI quattro 245PS 7speed S tronic ,Diesel,6.8,5.1,5.7,149
AUDI,A5 Sportback,S5 3.0 V6 FSI quattro 333PS 7speed S tronic,Petrol,10.7,6.6,8.1,190
AUDI,A6 Allroad,3.0 TDI quattro V6 204PS 7speed S tronic,Diesel,7,5.5,6.1,159
AUDI,A6 Allroad,3.0 TDI quattro V6 245PS 7speed S tronic,Diesel,7.4,5.6,6.3,165
AUDI,A6 Allroad,3.0 TFSI V6 quattro 310PS 7speed S tronic,Petrol,11.8,7.1,8.9,206
AUDI,A6 Allroad,3.0 V6 BiTDI quattro 313PS 8speed S-tronic,Diesel,7.9,6,6.7,176
AUDI,A6 Avant,2.0 TDI 177PS,Diesel,6.1,4.5,5,132
AUDI,A6 Avant,2.0 TDI 177PS 8speed Multitronic,Diesel,6.1,4.5,5.1,135
AUDI,A6 Avant,3.0 TDI 204PS,Diesel,6.5,4.4,5.3,139
AUDI,A6 Avant,3.0 TDI 204PS 8speed Multitronic,Diesel,5.9,4.7,5.2,136
AUDI,A6 Avant,3.0 TDI quattro 245PS 7speed S tronic,Diesel,7.2,5.2,5.9,156
AUDI,A6 Avant,3.0 TFSI quattro 310PS 7speed S tronic,Petrol,10.8,6.6,8.2,190
AUDI,A6 Avant,3.0 V6 BiTDI quattro 313PS 8speed Tiptronic,Diesel,8,5.6,6.4,169
AUDI,A6 Avant,3.0 V6 TDI quattro 204PS S-tronic,Diesel,6.8,5.1,5.8,152
AUDI,A6 Avant,S6 4.0 TFSI V8 quattro 420PS 7speed S tronic,Petrol,13.4,7.5,9.7,226
AUDI,A6 Saloon,2.0 TDI 177PS,Diesel,6,4.4,4.9,129
AUDI,A6 Saloon,2.0 TDI 177PS 8speed Multitronic,Diesel,6,4.4,5,132
AUDI,A6 Saloon,2.0 TFSI Hybrid 245PS 8speed tiptronic,Petrol Hybrid,6.2,6.2,6.2,145
AUDI,A6 Saloon,3.0 TDI 204PS,Diesel,6.5,4.4,5.3,139
AUDI,A6 Saloon,3.0 TDI 204PS 8speed Multitronic,Diesel,5.8,4.6,5.1,133
AUDI,A6 Saloon,3.0 TDI quattro 245PS 7speed S tronic,Diesel,7.2,5.2,5.9,156
AUDI,A6 Saloon,3.0 TFSI quattro 310PS 7speed S tronic,Petrol,10.8,6.6,8.2,190
AUDI,A6 Saloon,3.0 V6 BiTDI quattro 313PS 8speed Tiptronic,Diesel,8,5.6,6.4,169
AUDI,A6 Saloon,3.0 V6 TDI quattro 204PS S-tronic,Diesel,6.7,5,5.7,149
AUDI,A6 Saloon,S6 4.0 TFSI V8 quattro 420PS 7speed S tronic,Petrol,13.4,7.5,9.6,225
AUDI,A7 Sportback,2.8 V6 FSI quattro 204PS 7speed S tronic,Petrol,10.7,6.5,8,187
AUDI,A7 Sportback,3.0 V6 BiTDI quattro 313PS 8speed Tiptronic,Diesel,8,5.6,6.4,169
AUDI,A7 Sportback,3.0 V6 TDI 204PS 8speed Multitronic,Diesel,5.9,4.7,5.1,135
AUDI,A7 Sportback,3.0 V6 TDi 245ps quattro 8 speed Tiptronic,Diesel,7.2,5.3,5.9,156
AUDI,A7 Sportback,3.0 V6 TDI quattro 204PS 7speed S tronic,Diesel,6.8,5.1,5.8,152
AUDI,A7 Sportback,3.0 V6 TDI quattro 245PS 7speed S tronic,Diesel,7.2,5.3,5.9,156
AUDI,A7 Sportback,3.0 V6 TFSI quattro 310PS 7speed S tronic,Petrol,10.8,6.6,8.2,190
AUDI,A7 Sportback,S7 4.0 TFSI V8 quattro 420PS 7speed S tronic,Petrol,13.4,7.5,9.6,225
AUDI,A8 Hybrid,2.0 TFSI 210PS 8speed S tronic LWB,Petrol Hybrid,6.9,6.2,6.4,149
AUDI,A8 Hybrid,2.0 TFSI 210PS 8speed S tronic SWB,Petrol Hybrid,6.4,6.2,6.3,147
AUDI,Q3,2.0 TDI 140PS,Diesel,6.2,4.7,5.2,137
AUDI,Q3,2.0 TDI 177PS,Diesel,6.4,5,5.5,144
AUDI,Q3,2.0 TDI quattro 140PS,Diesel,6.9,5,5.7,149
AUDI,Q3,2.0 TDI quattro 140PS 7speed S tronic,Diesel,6.8,5.2,5.8,152
AUDI,Q3,2.0 TDI quattro 177PS,Diesel,6.5,5.2,5.6,148
AUDI,Q3,2.0 TDI quattro 177PS 7speed S tronic,Diesel,7,5.3,5.9,156
AUDI,Q3,2.0 TFSI quattro 170PS,Petrol,9.5,6.1,7.3,174
AUDI,Q3,2.0 TFSI quattro 170PS 7speed S tronic,Petrol,10.2,6.4,7.7,179
AUDI,Q3,2.0 TFSI quattro 211PS 7speed S tronic,Petrol,10.2,6.4,7.7,179
AUDI,Q5,2.0 TDI quattro 143PS,Diesel,6.8,5.4,5.9,154
AUDI,Q5,2.0 TDI quattro 150PS,Diesel,6.8,5.4,5.9,154
AUDI,Q5,2.0 TDI quattro 177PS ,Diesel,6.8,5.4,5.9,154
AUDI,Q5,2.0 TDI quattro 177PS 7speed S tronic,Diesel,7.1,5.5,6.1,159
AUDI,Q5,2.0 TFSI quattro 225PS ,Petrol,9.3,6.4,7.5,174
AUDI,Q5,3.0 TDI quattro 245PS 7speed S tronic,Diesel,7.1,6,6.4,169
AUDI,Q5,3.0 V6 TFSI quattro 272PS 8speed Tiptronic,Petrol,11.4,6.9,8.5,199
AUDI,Q5,SQ5 3.0 V6 BiTDI quattro 313PS ,Diesel,7.6,6.4,6.8,179
AUDI,Q7,3.0 TDI quattro 204PS 8speed Tiptronic,Diesel,8.2,6.5,7.2,189
AUDI,Q7,3.0 V6 TDI quattro 245PS 8speed Tiptronic,Diesel,8.6,6.7,7.4,195
AUDI,Q7,3.0 V6 TDI quattro 245PS 8speed Tiptronic Clean,Diesel,8.8,6.6,7.4,195
AUDI,Q7,3.0 V6 TFSI 272PS quattro 8speed Tiptronic,Petrol,14.4,8.5,10.7,249
AUDI,Q7,3.0 V6 TFSI quattro 333PS 8speed Tiptronic,Petrol,14.4,8.5,10.7,249
AUDI,Q7,4.2 V8 TDI 340PS quattro 8speed Tiptronic ,Diesel,12,7.6,9.2,242
AUDI,R8 Coupé,4.2 FSI V8 quattro 430PS,Petrol,21.3,10,14.2,332
AUDI,R8 Coupé,4.2 FSI V8 quattro 430PS S tronic,Petrol,19.3,8.4,12.4,289
AUDI,R8 Coupé,5.2 FSI quattro V10 550PS,Petrol,22.2,10.6,14.9,346
AUDI,R8 Coupé,5.2 FSI quattro V10 550PS 7speed S tronic,Petrol,19.9,8.6,12.9,299
AUDI,R8 Coupé,5.2 V10 FSI quattro 525PS,Petrol,22.2,10.6,14.9,346
AUDI,R8 Coupé,5.2 V10 FSI quattro 525PS S tronic,Petrol,20.5,8.9,13.1,305
AUDI,R8 GT,Spyder 5.2 V10 560PS quattro R tronic,Petrol,21.5,10.2,14.2,332
AUDI,R8 Spyder,4.2 V8 FSI quattro 430PS ,Petrol,21.3,10.3,14.4,337
AUDI,R8 Spyder,4.2 V8 FSI quattro 430PS S tronic,Petrol,19.6,8.6,12.6,294
AUDI,R8 Spyder,5.2 FSI V10 quattro 525PS ,Petrol,22.2,10.7,14.9,349
AUDI,R8 Spyder,5.2 V10 FSI quattro 525PS S tronic,Petrol,20.5,9.2,13.3,310
AUDI,RS Series ,RS Q3 2.5 TFSI quattro 310PS 7speed S tronic,Petrol,12.2,6.9,8.8,206
AUDI,RS Series ,RS4 Avant 4.2 V8 FSI quattro 450PS 7speed S tronic,Petrol,14.6,8.5,10.7,249
AUDI,RS Series ,RS5 Cabriolet 4.2 V8 FSI quattro 450PS 7speed S tronic,Petrol,14.6,8.5,10.7,249
AUDI,RS Series ,RS5 Coupé 4.2 V8 FSI quattro 450PS 7speed S tronic,Petrol,14.4,8.3,10.5,246
AUDI,RS Series ,RS6 4.0 V8 quattro 560PS 8speed S-tronic,Petrol,13.9,7.5,9.8,229
AUDI,RS Series ,RS7 4.0 V8 quattro 560PS 8speed S-tronic,Petrol,13.9,7.5,9.8,229
AUDI,TT Coupé,1.8 TFSI 160PS,Petrol,8.5,5.2,6.4,149
AUDI,TT Coupé,1.8 TFSI 160PS 7speed S tronic,Petrol,8.4,5.2,6.4,147
AUDI,TT Coupé,2.0 TDI 170PS quattro ,Diesel,7,4.3,5.3,139
AUDI,TT Coupé,2.0 TDI 170PS quattro S tronic,Diesel,7,4.7,5.5,144
AUDI,TT Coupé,2.0 TFSI 211PS ,Petrol,8.9,5.2,6.6,154
AUDI,TT Coupé,2.0 TFSI 211PS S tronic,Petrol,9.9,5.4,7.1,164
AUDI,TT Coupé,2.0 TFSI quattro 211PS S tronic,Petrol,9.9,5.7,7.2,169
AUDI,TT Coupé,RS + 2.5 TFSI quattro 360PS,Petrol,12.6,6.8,9,209
AUDI,TT Coupé,RS + 2.5 TFSI quattro 360PS 7speed S tronic,Petrol,12.3,6.3,8.5,197
AUDI,TT Coupé,RS 2.5 TFSI quattro 340PS,Petrol,12.6,6.8,9,209
AUDI,TT Coupé,RS 2.5 TFSI quattro 340PS 7speed S tronic,Petrol,12.3,6.3,8.5,197
